Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.25926,0.76718,1.66186,2.24947,1.95857,-1.9719,-1.17712,-0.53747,-0.21036,-0.083
,0.03255,0.01359,0.0276,0.04986,0.10476,0.11791,0.26176,0.40036,0.40386,0.34205
ForwardGuidanceFactor,0.06216,0.30107,0.78561,1.16813,1.12264,-1.15177,-0.78985,-0.40821,-0.15575,-0.05409
,0.01005,1e-05,0,0,2e-05,3e-05,0.00037,0.0021,0.00282,0.00275
LSAPFactor,-0.04017,0.14325,0.61939,1.01414,0.9717,-0.99301,-0.65499,-0.34103,-0.15236,-0.06203
,0.52221,0.3698,0.11658,0.0938,0.12888,0.13757,0.24001,0.31589,0.25668,0.18356
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.24861,0.42782,0.445,0.42704,0.37567,0.36605,0.275,0.21151,0.20339,0.20995
RMSE,0.13216,0.33552,0.82059,1.25555,1.33165,1.39254,1.16678,0.71334,0.2813,0.09739
nObs,46,46,46,46,46,46,46,46,46,46
